ALEJANDRA ;;;;;;;;;;;;;;MARCELO;;;;;;;;;;;;;;JOEL;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
EXTENSIONES; $3.195.548 ; $-1.177.202 ; $-2.604.839 ; $1.074.550 ; $700.502 ; $-11.463.851 ; $-8.351.133 ; $-7.401.092 ; $-8.847.833 ; $-12.765.792 ; $-7.876.492 ; $-10.705.295 ;;EXTENSIONES; $3.773.638 ; $590.280 ; $86.633 ; $249.112 ; $-1.138.373 ; $-645.100 ; $-4.811.024 ; $-1.098.213 ; $-2.881.999 ; $-2.348.142 ; $-2.124.795 ; $-4.092.878 ;;EXTENSIONES; $1.189.833 ; $671.156 ; $1.082.488 ; $- ; $262.302 ; $- ; $- ; $- ; $- ; $-2.100 ; $-56.140 ; $- 
HERRAMIENTAS; $420.716 ; $388.120 ; $380.580 ; $1.156.710 ; $71.120 ; $-1.248.850 ; $-1.301.010 ; $-177.600 ; $-7.400 ; $-279.100 ; $-651.870 ; $-563.360 ;;HERRAMIENTAS; $-111.180 ; $76.320 ; $5.872 ; $817.520 ; $82.200 ; $- ; $- ; $-80.888 ; $-74.000 ; $-217.008 ; $- ; $-8.200 ;;HERRAMIENTAS; $48.360 ; $313.035 ; $160.300 ; $- ; $4.153 ; $- ; $- ; $- ; $-23.400 ; $-480.100 ; $-334.600 ; $-115.000 
ILUMINACION; $-1.383.372 ; $-939.837 ; $430.104 ; $288.646 ; $-118.026 ; $-971.450 ; $-277.772 ; $-748.955 ; $-494.800 ; $-1.015.145 ; $-186.400 ; $-181.040 ;;ILUMINACION; $-71.300 ; $65.740 ; $-269.660 ; $345.950 ; $-17.800 ; $-126.500 ; $-680.700 ; $-169.664 ; $-331.087 ; $-185.370 ; $-107.160 ; $-219.153 ;;ILUMINACION; $- ; $277.790 ; $135.200 ; $- ; $23.243 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
OBSOLETO; $-221.400 ; $-12.660 ; $77.480 ; $-53.680 ; $50.000 ; $-1.847.800 ; $1.440.000 ; $- ; $- ; $-46.000 ; $- ; $-55.800 ;;OBSOLETO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;OBSOLETO; $-421.890 ; $- ; $-343.308 ; $-1.342.838 ; $-396.116 ; $-582.176 ; $- ; $-1.349.800 ; $-383.880 ; $-624.140 ; $-507.920 ; $-398.198 
PLACAS MURALES; $-1.213.913 ; $492.779 ; $-676.755 ; $-1.818.790 ; $927.292 ; $-810.528 ; $-1.663.797 ; $-807.379 ; $-1.440.009 ; $-958.588 ; $-1.202.845 ; $-1.450.273 ;;PLACAS MURALES; $687.372 ; $665.790 ; $770.228 ; $411.320 ; $678.426 ; $- ; $-1.433.768 ; $-464.251 ; $-368.501 ; $-397.974 ; $-332.248 ; $-496.466 ;;PLACAS MURALES; $1.017.842 ; $211.120 ; $456.815 ; $- ; $227.749 ; $-4.902 ; $- ; $- ; $-46.500 ; $- ; $-3.500 ; $-49.878 
PORTALAMPARAS; $-339.030 ; $614.880 ; $-518.570 ; $-726.000 ; $1.266.290 ; $-1.556.810 ; $-343.175 ; $-664.573 ; $-234.869 ; $-543.350 ; $-818.750 ; $-398.300 ;;PORTALAMPARAS; $-308.450 ; $249.750 ; $-204.913 ; $585.020 ; $223.600 ; $-66.750 ; $-251.000 ; $-143.416 ; $-405.893 ; $-161.275 ; $-251.800 ; $-358.725 ;;PORTALAMPARAS; $38.100 ; $- ; $90.950 ; $- ; $20.130 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $-101.200 ; $- ; $- ; $- ; $- ; $-117.200 ; $- 
SMART; $-176.604 ; $89.800 ; $-201.525 ; $471.750 ; $-88.340 ; $-31.878 ; $-304.280 ; $- ; $- ; $- ; $- ; $-115.220 ;;SMART; $-646.040 ; $- ; $-772.800 ; $1.219.810 ; $58.690 ; $- ; $- ; $- ; $- ; $-80.960 ; $-111.835 ; $- ;;SMART; $130.650 ; $418.370 ; $1.143.540 ; $-100.670 ; $-95.500 ; $-140.500 ; $- ; $-147.000 ; $-330.400 ; $-729.730 ; $-707.540 ; $-195.320 
VOLANTES; $-226.450 ; $1.340.630 ; $-307.430 ; $790.102 ; $-270.606 ; $-2.451.440 ; $-1.950.400 ; $-1.391.407 ; $-1.935.736 ; $-2.916.236 ; $-1.073.000 ; $-2.534.600 ;;VOLANTES; $-830.183 ; $749.860 ; $487.827 ; $-326.467 ; $559.812 ; $-146.800 ; $-1.229.425 ; $-567.612 ; $-1.622.088 ; $-1.008.236 ; $-832.000 ; $-660.880 ;;VOLANTES; $679.630 ; $420.675 ; $572.900 ; $- ; $48.337 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
